cns5_id,gj_id,component_id,n_components,primary_flag,gj_system_primary,gaia_edr3_id,hip_id,ra,dec,epoch,coordinates_bibcode,parallax,parallax_error,parallax_bibcode,pmra,pmra_error,pmdec,pmdec_error,pm_bibcode,rv,rv_error,rv_bibcode,g_mag,g_mag_error,bp_mag,bp_mag_error,rp_mag,rp_mag_error,g_mag_from_hip,g_mag_from_hip_error,g_rp_from_hip,g_rp_from_hip_error,g_mag_resulting,g_mag_resulting_error,g_rp_resulting,g_rp_resulting_error,g_rp_resulting_flag,j_mag,j_mag_error,h_mag,h_mag_error,k_mag,k_mag_error,jhk_mag_bibcode,w1_mag,w1_mag_error,w2_mag,w2_mag_error,w3_mag,w3_mag_error,w4_mag,w4_mag_error,wise_mag_bibcode
5142,4165,,,0,,1871118140493076224,,312.2788230257468,37.47122796548486,2016.0,2020yCat.1350....0G,56.889944995813316,0.024203349,2020yCat.1350....0G,162.1213259095209,0.017384950071573257,148.14226344816902,0.019009867683053017,2020yCat.1350....0G,,,,13.035794,0.0005572078264486019,13.005794,0.0007248972342809907,13.128798,0.0006243360728239591,,,,,13.035794,0.0005572078264486019,-0.0930032730102539,0.0008368250078031962,1,13.303,0.023,13.37,0.024,13.432,0.038,2003yCat.2246....0C,,,,,,,,,
5239,822.1,C,3,0,,1964791549008457856,104887,318.69622421753587,38.022506739978056,2016.0,2020yCat.1350....0G,49.13663575835233,0.046642184,2020yCat.1350....0G,167.7706100920773,0.037009987980127335,421.00827432943174,0.045331697911024094,2020yCat.1350....0G,-23.54244041442871,0.4040163457393646,2020yCat.1350....0G,11.000573,0.00059423500100048,12.187614,0.0014373387148704257,9.816401,0.0011814247034740769,,,,,11.000573,0.00059423500100048,1.1114314415706823,0.002269737189906395,0,8.337,0.023,7.706,0.017,7.485,0.016,2003yCat.2246....0C,7.271,0.029,7.214,0.02,7.138,0.017,6.941,0.086,2014yCat.2328....0C
5240,822.1,AB,3,1,,,104887,318.69727753340095,38.044320596888575,1991.25,2007A&A...474..653V,49.15999984741211,0.4,2007A&A...474..653V,196.99,0.30000001192092896,410.28,0.30000001192092896,2007A&A...474..653V,,,,,,,,,,3.6361307652971764,0.08191097527742386,0.3479282614601318,0.13113095742293152,3.6361308,0.08191097527742386,0.3479282614601318,0.13113095742293152,2,,,,,,,,,,,,,,,,
5218,820,B,2,0,,1872046574983497216,104217,316.753662752556,38.75607277205679,2016.0,2020yCat.1350....0G,286.0053518616485,0.033118717,2020yCat.1350....0G,4105.976428209489,0.025807728990912437,3155.9416398273515,0.026797225698828697,2020yCat.1350....0G,-64.425048828125,0.13015395402908325,2020yCat.1350....0G,5.4506445,0.0004424983953618887,6.272253,0.00064359276423353,4.5569124,0.002329804315326081,,,,,5.4506445,0.0004424983953618887,0.8901713403166354,0.002744485342261056,0,3.546,0.278,2.895,0.218,2.544,0.328,2003yCat.2246....0C,,,,,,,,,
5217,820,A,2,1,,1872046609345556480,104214,316.7484792940004,38.76386244649797,2016.0,2020yCat.1350....0G,285.99494829578117,0.06864106,2020yCat.1350....0G,4164.2086922846665,0.055289942771196365,3249.613883848584,0.05502299591898918,2020yCat.1350....0G,-65.93775939941406,0.13571152091026306,2020yCat.1350....0G,4.766713,0.0006282216401914759,5.4397926,0.0007487942182464748,3.977203,0.0028582909851840735,,,,,4.766713,0.0006282216401914759,0.7897094490303651,0.0032280830437372413,0,3.114,0.268,2.54,0.198,2.248,0.318,2003yCat.2246....0C,,,,,,,,,
5087,4152,,,0,,2063967910147595008,,309.1927827933898,38.84173999457955,2016.0,2020yCat.1350....0G,61.14214708478485,0.020986356,2020yCat.1350....0G,170.6506272054245,0.015759747475385666,-150.55772740899727,0.016498923301696777,2020yCat.1350....0G,,,,12.111444,0.00035706704776544847,13.608441,0.0012469395091794099,10.9161005,0.0005365383494421036,,,,,12.111444,0.00035706704776544847,1.1933029410257392,0.0018795562082509383,0,9.27,0.02,8.707,0.023,8.461,0.015,2003yCat.2246....0C,8.286,0.023,8.133,0.021,8.388,0.056,8.353,,2014yCat.2328....0C
5070,792,,,0,,2064100569188230144,,307.85797116863074,38.56548761204535,2016.0,2020yCat.1350....0G,64.94565133943459,0.54187185,2020yCat.1350....0G,201.38337848845225,0.4491032063961029,720.6780184247978,0.488338828086853,2020yCat.1350....0G,,,,12.146215,0.0007142508408140188,13.765141,0.001236798589041952,10.901452,0.0005066455711522228,,,,,12.146215,0.0007142508408140188,1.2312332014338747,0.0018645000629188312,0,9.193,0.021,8.627,0.021,8.358,0.016,2003yCat.2246....0C,8.165,0.022,7.975,0.02,7.977,0.031,8.569,,2014yCat.2328....0C
5195,13045,,,0,,1873146567646378880,,315.3884359246044,39.95101730803674,2016.0,2020yCat.1350....0G,41.762333855997824,0.027799973,2020yCat.1350....0G,-147.61169576383344,0.024664197117090225,2.7965973861282163,0.02547651343047619,2020yCat.1350....0G,,,,14.335631,0.0006321778622023894,16.363392,0.004909650667301854,13.007822,0.0009493787168861,,,,,14.335631,0.0006321778622023894,1.3265683729170326,0.005166816197912776,0,10.99,0.021,10.403,0.017,10.116,0.015,2003yCat.2246....0C,9.915,0.023,9.723,0.019,9.599,0.04,8.959,,2014yCat.2328....0C
5187,815,,,0,,1873073175244118784,103655,315.02594408686326,40.069067417758205,2016.0,2020yCat.1350....0G,66.58648910676197,0.081110805,2020yCat.1350....0G,602.234338946363,0.06774771213531494,-250.52112642010468,0.08026967942714691,2020yCat.1350....0G,,,,9.396831,0.0007831661694056214,10.391384,0.003477202047636447,8.152237,0.0029078305750718887,,,,,9.396831,0.0007831661694056214,1.0731525599776388,0.004715550098706407,0,6.668,0.02,6.089,0.016,5.88,0.018,2003yCat.2246....0C,5.81,0.119,5.57,0.042,5.59,0.014,5.449,0.027,2014yCat.2328....0C
5321,834,B,2,0,,1953952387283004544,106694,324.1591741992401,39.45494611812431,2016.0,2020yCat.1350....0G,47.94117281547513,0.28714016,2020yCat.1350....0G,-168.82919122188565,0.21273523569107056,-178.54616030866643,0.421548455953598,2020yCat.1350....0G,,,,11.071051,0.005935644359627794,,,,,,,,,11.071051,0.005935644359627794,,,,7.111,0.023,6.496,0.049,6.302,0.021,2014yCat.2328....0C,6.193,0.083,6.013,0.036,6.054,0.016,5.944,0.047,2014yCat.2328....0C
5322,834,A,2,1,,1953952391581618432,106694,324.15953061029757,39.45499047105479,2016.0,2020yCat.1350....0G,48.140152869661804,0.20366761,2020yCat.1350....0G,-209.18084234937302,0.1534671187400818,-160.10661440006356,0.18601787090301514,2020yCat.1350....0G,0.7180829048156738,1.6779325008392334,2020yCat.1350....0G,9.651061,0.0004960761630394836,10.391324,0.004125249295203368,8.42933,0.0027674296685332514,,,,,9.651061,0.0004960761630394836,0.9817706258768413,0.005134817301312087,0,7.111,0.023,6.496,0.049,6.302,0.021,2003yCat.2246....0C,6.193,0.083,6.013,0.036,6.054,0.016,5.944,0.047,2014yCat.2328....0C
5377,13143,,,0,,1954170404122975232,,327.0723954642871,40.068517793015445,2016.0,2020yCat.1350....0G,123.6752359487603,0.35115317,2020yCat.1350....0G,772.175608915056,0.36216169595718384,458.2432398551363,0.3537176847457886,2020yCat.1350....0G,-14.52,0.71,2016ApJS..225...10F,19.818087,0.0034473351194145995,21.344938,0.14329176717471767,18.1991,0.014451637529177958,,,,,19.818087,0.0034473351194145995,1.6189861297607422,0.014857117711733123,1,14.147,0.029,12.783,0.03,11.765,0.023,2003yCat.2246....0C,10.756,0.024,10.243,0.02,9.631,0.042,9.066,0.469,2014yCat.2328....0C
5272,13087,,,0,,1965478468902062464,,321.13780325406816,40.06853292389345,2016.0,2020yCat.1350....0G,68.977207391706,0.024692558,2020yCat.1350....0G,542.2302496681876,0.021917862817645073,439.0240379519082,0.02298709563910961,2020yCat.1350....0G,-60.0,30.0,2003AJ....125.1598L,13.897119,0.000600116458654476,16.177614,0.003989982909861778,12.525053,0.0011448769432318682,,,,,13.897119,0.000600116458654476,1.3763144971504129,0.004349793884327511,0,10.339,0.022,9.74,0.028,9.431,0.025,2003yCat.2246....0C,9.177,0.022,8.996,0.02,8.839,0.024,8.721,,2014yCat.2328....0C
5353,836.8,,,0,,1954559047126247808,107346,326.12447685375383,41.597644171781745,2016.0,2020yCat.1350....0G,50.43759479536322,0.015430525,2020yCat.1350....0G,-61.18503452366127,0.011677817441523075,40.902037306339906,0.013214184902608395,2020yCat.1350....0G,10.287345886230469,0.25322192907333374,2020yCat.1350....0G,9.042687,0.00019611662232825631,9.847819,0.0005575572946508205,8.167549,0.00034839259054754386,,,,,9.042687,0.00019611662232825631,0.8766940672368893,0.0014567935797383136,0,7.07,0.027,6.422,0.034,6.289,0.021,2003yCat.2246....0C,6.187,0.093,6.134,0.026,6.201,0.015,6.121,0.054,2014yCat.2328....0C
5435,4246,,,0,,1959969434607205504,,329.84200557555965,41.8570493695783,2016.0,2020yCat.1350....0G,48.63778540452219,0.02473718,2020yCat.1350....0G,109.84569316010973,0.018172400072216988,-408.7680363605242,0.020122075453400612,2020yCat.1350....0G,,,,11.647216,0.0004340046317905812,12.987848,0.0010261250198690364,10.498184,0.0005389286483555364,,,,,11.647216,0.0004340046317905812,1.1434404284010018,0.0017416591642510184,0,8.982,0.02,8.384,0.017,8.156,0.017,2003yCat.2246....0C,7.989,0.023,7.859,0.02,7.75,0.02,7.559,0.154,2014yCat.2328....0C
5408,13164,,,0,,1960660958705529344,,328.4943475912564,42.59147613766264,2016.0,2020yCat.1350....0G,39.71028012800859,0.55322593,2020yCat.1350....0G,-80.03099609629271,0.49578800797462463,-257.014316186583,0.5216658711433411,2020yCat.1350....0G,,,,15.846461,0.0022644217915160133,17.85983,0.01453622962326472,13.899472,0.0011195595462733605,,,,,15.846461,0.0022644217915160133,1.418841218195858,0.014637123530186202,0,11.636,0.024,11.059,0.028,10.763,0.023,2003yCat.2246....0C,10.498,0.023,10.301,0.02,10.088,0.05,8.562,,2014yCat.2328....0C
5357,13134,,,0,,1973094614149871872,107376,326.2240927718659,44.282895104675546,2016.0,2020yCat.1350....0G,43.67485492625354,0.017030258,2020yCat.1350....0G,-140.59959449784125,0.014305731281638145,-655.3964569723692,0.015249171294271946,2020yCat.1350....0G,-28.088727951049805,0.23466341197490692,2020yCat.1350....0G,10.513817,0.0003256439375947012,11.63558,0.0014669283678201772,9.457491,0.0006202110674754356,,,,,10.513817,0.0003256439375947012,1.0542328329064787,0.002055855200283957,0,8.1,0.02,7.454,0.017,7.255,0.018,2003yCat.2246....0C,7.012,0.058,7.069,0.02,6.988,0.016,6.813,0.069,2014yCat.2328....0C
5369,4219,,,0,,1974606167761195904,,326.7361495066119,46.635039174978616,2016.0,2020yCat.1350....0G,58.36152258870921,0.020826243,2020yCat.1350....0G,278.74591067000216,0.017694594338536263,-5.6004305070394444,0.018322879448533058,2020yCat.1350....0G,,,,12.080098,0.00047707375853444387,13.694959,0.0017617700897281405,10.846426,0.000985507179888685,,,,,12.080098,0.00047707375853444387,1.2279053022167037,0.0024010535709710536,0,9.089,0.05,8.481,0.03,8.214,0.016,2003yCat.2246....0C,8.041,0.022,7.907,0.018,7.762,0.017,7.619,0.158,2014yCat.2328....0C
5076,12978,,,0,,2064689567732385792,,308.34127538452407,39.9022620110814,2016.0,2020yCat.1350....0G,48.225744059263675,0.038462635,2020yCat.1350....0G,36.576563022233415,0.03582136332988739,-100.9243569647661,0.03752807527780533,2020yCat.1350....0G,,,,16.224464,0.0004617975602564565,16.53693,0.003749627284143316,15.753734,0.0028826373906516768,,,,,16.224464,0.0004617975602564565,0.47740794500169437,0.004905028348131648,0,15.279,0.051,15.227,0.078,14.944,0.146,2003yCat.2246....0C,,,,,,,,,
5072,793.1,,,0,,2067948245320365184,101382,308.21423778614803,41.9004943939358,2016.0,2020yCat.1350....0G,45.772986186111304,0.22918962,2020yCat.1350....0G,-157.00752447215945,0.19457405805587769,451.8265322760054,0.19923831522464752,2020yCat.1350....0G,,,,6.8316164,0.00013678740045161545,7.254273,0.0004975694264160414,6.2312436,0.0004955335110090486,,,,,6.8316164,0.00013678740045161545,0.5947818803041928,0.0014775414696843346,0,5.474,0.021,5.081,0.027,4.966,0.017,2003yCat.2246....0C,4.945,0.161,4.658,0.114,4.915,0.017,4.517,0.039,2014yCat.2328....0C
5003,12933,,,0,,2074506110651830784,,302.66918780129294,40.66861562172365,2016.0,2020yCat.1350....0G,40.65107303569789,0.016958244,2020yCat.1350....0G,294.33711984991555,0.01702864095568657,-85.63602284591231,0.01749216578900814,2020yCat.1350....0G,,,,13.896421,0.0004939185814419727,15.693484,0.0019151468548226505,12.627132,0.0007421175979867527,,,,,13.896421,0.0004939185814419727,1.272188221531208,0.0024307459770158456,0,10.795,0.025,10.216,0.018,9.941,0.013,2003yCat.2246....0C,9.748,0.023,9.576,0.02,9.691,0.054,9.228,,2014yCat.2328....0C
5162,13025,,,0,,2066768499405895296,,313.2412180042452,43.171978181149036,2016.0,2020yCat.1350....0G,60.03791166410518,0.022392735,2020yCat.1350....0G,-197.44890973329603,0.01856047473847866,-317.4255084959136,0.01971582882106304,2020yCat.1350....0G,,,,11.908527,0.00038135336020900294,13.343314,0.0014288345188868462,10.730004,0.0006322440673401681,,,,,11.908527,0.00038135336020900294,1.1742759503176536,0.002032560120402209,0,9.144,0.023,8.578,0.033,8.345,0.031,2003yCat.2246....0C,8.173,0.023,8.006,0.02,7.805,0.022,6.968,0.076,2014yCat.2328....0C
5127,806,,,0,,2070115588901082368,102401,311.2697846821949,44.5002726683959,2016.0,2020yCat.1350....0G,82.92295726794723,0.01874324,2020yCat.1350....0G,434.02777172748665,0.01797827146947384,271.02223027117475,0.019759664312005043,2020yCat.1350....0G,-24.282127380371094,0.3121242821216583,2020yCat.1350....0G,9.828687,0.0003839560127645395,11.005876,0.0008736708313352385,8.750727,0.00036459801874640113,,,,,9.828687,0.0003839560127645395,1.0779681943187178,0.0016081767430229203,0,7.329,0.018,6.769,0.023,6.533,0.016,2003yCat.2246....0C,6.409,0.075,6.169,0.027,6.239,0.016,6.296,0.052,2014yCat.2328....0C
5214,13055,,,0,,2162411240644426240,,316.5690961079276,44.61682002534648,2016.0,2020yCat.1350....0G,40.90625168526377,0.021024577,2020yCat.1350....0G,-23.280940666925652,0.019853459671139717,-138.42151705678828,0.020099474117159843,2020yCat.1350....0G,,,,14.151821,0.0005482163988891109,16.040386,0.003552144311473266,12.859423,0.0011325866978736873,,,,,14.151821,0.0005482163988891109,1.2953192362592814,0.003948478420573209,0,10.969,0.023,10.396,0.023,10.128,0.014,2003yCat.2246....0C,9.922,0.022,9.731,0.018,9.787,0.044,9.135,,2014yCat.2328....0C
5201,816.1,A,2,1,,2163558855915068416,103859,315.6724037191263,45.88539608945451,2016.0,2020yCat.1350....0G,51.41690114520126,0.020441433,2020yCat.1350....0G,406.8303781858543,0.018875204026699066,140.98918707066915,0.019386958330869675,2020yCat.1350....0G,-14.330846786499023,0.1511172354221344,2020yCat.1350....0G,7.431637,0.00046513155744818026,7.9218545,0.001992344581408833,6.7791324,0.0015493926821895786,,,,,7.431637,0.00046513155744818026,0.6514425190947604,0.0028390235319017266,0,5.944,0.029,6.953,,5.372,0.027,2003yCat.2246....0C,,,,,,,,,
5202,13048,B,2,0,816.1,2163558855915069824,,315.67347406448823,45.88543038097306,2016.0,2020yCat.1350....0G,51.23085569922429,0.055482645,2020yCat.1350....0G,378.8770691297277,0.0434950515627861,151.31973388132099,0.06608240306377411,2020yCat.1350....0G,,,,11.583294,0.001867683845095919,,,,,,,,,11.583294,0.001867683845095919,,,,,,,,,,,,,,,,,,,
5102,12992,,,0,,2168280502430898944,,310.44876837737314,49.64690532477963,2016.0,2020yCat.1350....0G,43.488875769056484,0.018193122,2020yCat.1350....0G,158.33374097466145,0.01923426426947117,44.34240793456125,0.01922549307346344,2020yCat.1350....0G,,,,13.68916,0.0005760000096246626,15.573718,0.002782599357842295,12.3942585,0.000959025969355679,,,,,13.68916,0.0005760000096246626,1.294913355456052,0.003217544093895677,0,10.416,0.024,9.832,0.03,9.541,0.018,2003yCat.2246....0C,9.334,0.022,9.183,0.02,9.234,0.053,9.128,,2014yCat.2328....0C
5139,13009,,,0,,,,312.0011446,50.6395396,2000.0,2014yCat.2328....0C,32.0,5.0,2020AJ....159..257B,99.0,8.0,248.0,8.0,2014MNRAS.443.2327S,,,,,,,,,,,,,,,,,,,,,,,,,,16.732,0.063,15.358,0.061,13.188,,9.549,,2014yCat.2328....0C
5152,4167,,,0,,2182197777015312512,102870,312.63992950207626,52.901546310215174,2016.0,2020yCat.1350....0G,43.938794959635715,0.015134287,2020yCat.1350....0G,286.95524715999653,0.014616535045206547,438.8594346717522,0.01541578397154808,2020yCat.1350....0G,-52.46133041381836,0.2457285225391388,2020yCat.1350....0G,9.183121,0.00019802084702148047,9.95907,0.0004646175875173426,8.325234,0.0003575262948462718,,,,,9.183121,0.00019802084702148047,0.8584124551984449,0.0014260766298263704,0,7.236,0.018,6.619,0.018,6.48,0.018,2003yCat.2246....0C,,,,,,,,,
5482,13206,,,0,,1961385914819977216,,332.59103397568583,42.848076231364246,2016.0,2020yCat.1350....0G,45.644977722867026,0.017813845,2020yCat.1350....0G,-9.498582326484836,0.013651384972035885,-281.0355962700909,0.015151306055486202,2020yCat.1350....0G,,,,13.490691,0.0003711825690835796,15.201708,0.002143602928293176,12.23991,0.000690190658952157,,,,,13.490691,0.0003711825690835796,1.2514002673475473,0.0026002685745691524,0,10.445,0.021,9.943,0.028,9.715,0.019,2003yCat.2246....0C,9.55,0.022,9.343,0.02,9.212,0.032,8.461,0.293,2014yCat.2328....0C
5582,13260,,,0,,1982218395990388224,,339.5330989189912,43.88768529802811,2016.0,2020yCat.1350....0G,44.254092209123264,0.18873675,2020yCat.1350....0G,325.07598285004065,0.1414765864610672,-125.21223767904819,0.1551838219165802,2020yCat.1350....0G,,,,18.677017,0.002502624238693694,21.457436,0.15520102799347213,17.068258,0.007808388956150068,,,,,18.677017,0.002502624238693694,1.6087589263916016,0.008199638173152737,1,13.84,0.027,13.046,0.026,12.52,0.027,2003yCat.2246....0C,12.211,0.024,11.96,0.021,11.853,0.202,8.399,,2014yCat.2328....0C
5620,873,,,0,,1934263333784036736,112460,341.7028254522359,44.3319533233193,2016.0,2020yCat.1350....0G,198.00037594576017,0.024777792,2020yCat.1350....0G,-706.2158109750716,0.017996476963162422,-458.9196274161519,0.020479530096054077,2020yCat.1350....0G,,,,9.005235,0.000547626799344191,10.522137,0.002852794551133632,7.7919774,0.0008642636911532085,,,,,9.005235,0.000547626799344191,1.2017779313269248,0.003251982238392994,0,6.106,0.03,5.554,0.031,5.299,0.024,2003yCat.2246....0C,5.202,0.152,4.716,0.116,4.904,0.015,4.75,0.029,2014yCat.2328....0C
5446,13183,,,0,,,,330.7674279,46.3231698,2000.0,2014yCat.2328....0C,75.1,3.4,2021ApJS..253....7K,1289.1,3.3,-271.1,3.2,2021ApJS..253....7K,,,,,,,,,,,,,,,,,,,,,,,,,,18.919,,14.967,0.069,12.267,,9.164,,2014yCat.2328....0C
5577,13256,,,0,,,,339.0733476,51.0977486,2000.0,2014yCat.2328....0C,102.80000305175781,1.9,2020AJ....159..257B,708.5999755859375,2.0999999046325684,326.70001220703125,2.5,2020AJ....159..257B,,,,,,,,,,,,,,,,,,,14.584,0.036,14.486,0.092,14.445,0.092,2003tmc..book.....C,13.827,0.025,12.499,0.025,11.008,0.1,9.319,,2014yCat.2328....0C
5711,13330,A,2,1,,1935133906477014016,114456,347.70810989567957,45.51099625165,2016.0,2020yCat.1350....0G,42.49323366211412,0.025900474,2020yCat.1350....0G,-86.6457515227821,0.017020506784319878,-287.1195656181114,0.017960375174880028,2020yCat.1350....0G,-30.686384201049805,0.14573153853416443,2020yCat.1350....0G,6.8045487,0.00013296900036533497,7.1721096,0.00026976807653464536,6.2693014,0.0003681651246835707,,,,,6.8045487,0.00013296900036533497,0.5365074361897103,0.0013777954761685317,0,5.646,0.02,5.346,0.021,5.281,0.015,2003yCat.2246....0C,5.245,0.174,5.107,0.072,5.276,0.015,5.23,0.028,2014yCat.2328....0C
5712,13331,B,2,0,13330,1935122258524180608,,347.72806568390735,45.51165714604873,2016.0,2020yCat.1350....0G,42.54146428488186,0.23708832,2020yCat.1350....0G,-87.16872292533489,0.17966653406620026,-288.588946853193,0.1975642889738083,2020yCat.1350....0G,,,,14.470634,0.0005918341837933978,16.801502,0.004212500219690838,13.082037,0.0010618870892942106,,,,,14.470634,0.0005918341837933978,1.386119668448453,0.0045346182078875264,0,10.844,0.021,10.227,0.028,9.896,0.024,2003yCat.2246....0C,9.69,0.023,9.515,0.021,9.305,0.031,9.158,0.387,2014yCat.2328....0C
5756,13354,,,0,,1937923436193950080,115341,350.4364508799819,45.17572884076338,2016.0,2020yCat.1350....0G,49.151754629368874,0.020530403,2020yCat.1350....0G,196.24625955814417,0.01485937088727951,-73.03487734347999,0.015353025868535042,2020yCat.1350....0G,-13.7627592086792,0.16764920949935913,2020yCat.1350....0G,7.816189,0.0001793204579619214,8.354011,0.0005461469630163782,7.126989,0.0006000212974964417,,,,,7.816189,0.0001793204579619214,0.68903408442864,0.001532417065508384,0,6.32,0.021,5.817,0.017,5.71,0.018,2003yCat.2246....0C,,,,,,,,,
5741,894.1,,,0,,1941217160713765376,115058,349.5768483917112,46.28988831080257,2016.0,2020yCat.1350....0G,42.07331722093709,0.01936533,2020yCat.1350....0G,328.63123323893006,0.013839573599398136,134.7387464841499,0.013148640282452106,2020yCat.1350....0G,-6.129825592041016,0.3999372124671936,2020yCat.1350....0G,10.12848,0.0003643778120248686,11.125096,0.0009047269748480111,9.1388035,0.0006386179166961147,,,,,10.12848,0.0003643778120248686,0.9904825319601925,0.0017077364382547208,0,7.89,0.021,7.23,0.018,7.021,0.018,2003yCat.2246....0C,6.885,0.059,6.91,0.02,6.851,0.015,6.734,0.07,2014yCat.2328....0C
5771,13367,B,2,0,13368,1941668716392322432,,351.4091163579846,47.284850189709395,2016.0,2020yCat.1350....0G,40.45994897793966,0.21448515,2020yCat.1350....0G,13.136108380442653,0.20099246501922607,35.5349120153719,0.28632229566574097,2020yCat.1350....0G,,,,12.437058,0.004712806710093074,,,,,,,,,12.437058,0.004712806710093074,,,,8.26,0.02,7.682,0.021,7.463,0.016,2003yCat.2246....0C,7.204,0.036,7.192,0.02,7.106,0.016,6.925,0.075,2014yCat.2328....0C
5772,13368,A,2,1,,1941668716395829504,,351.40938844996,47.28491353980074,2016.0,2020yCat.1350....0G,40.22722703772745,0.08133702,2020yCat.1350....0G,31.625432632208124,0.06243584305047989,6.22379795052753,0.0682544931769371,2020yCat.1350....0G,-9.115482330322266,0.5741867423057556,2020yCat.1350....0G,11.077119,0.0006317968043599598,12.040858,0.0021023917936335563,9.727031,0.0008966801869489699,,,,,11.077119,0.0006317968043599598,1.095284838161552,0.0026294650808870923,0,8.26,0.02,7.682,0.021,7.463,0.016,2003yCat.2246....0C,7.204,0.036,7.192,0.02,7.106,0.016,6.925,0.075,2014yCat.2328....0C
5813,13393,,,0,,,,353.8627731,45.1946513,2000.0,2014yCat.2328....0C,44.0,1.4,2016ApJ...833...96L,-92.69999694824219,1.600000023841858,-79.9000015258789,1.600000023841858,2016ApJ...833...96L,,,,,,,,,,,,,,,,,,,16.94,0.03,15.56,0.02,14.69,0.06,2016ApJ...833...96L,13.531,0.024,12.946,0.026,11.925,0.258,8.512,,2014yCat.2328....0C
5825,4351,,,0,,1939093660163197312,116613,354.4959934124516,46.199382544020295,2016.0,2020yCat.1350....0G,43.87356554532322,0.020426348,2020yCat.1350....0G,357.16259266016704,0.013915310613811016,-11.729413475763373,0.01256004348397255,2020yCat.1350....0G,-0.13818590342998505,0.13342811167240143,2020yCat.1350....0G,6.428031,0.00030567589743385297,6.7444954,0.0011996459974780603,5.939177,0.0006725686803564126,,,,,6.428031,0.00030567589743385297,0.4888539081448118,0.001892484913826659,0,5.406,0.034,5.123,8.888,5.076,0.023,2003yCat.2246....0C,5.044,0.199,4.883,0.095,5.082,0.014,5.021,0.03,2014yCat.2328....0C
5921,913,,,0,,,118212,359.6789205433197,46.72917330458229,1991.25,2007A&A...474..653V,57.0099983215332,2.2,2007A&A...474..653V,668.39,1.5099999904632568,-7.98,1.4700000286102295,2007A&A...474..653V,,,,,,,,,,9.105786092697645,0.0819544866681099,0.8231254076444756,0.13118532011784165,9.105786,0.0819544866681099,0.8231254076444756,0.13118532011784165,2,,,,,,,,,,,,,,,,
5929,4385,,,0,,1927517417630958208,,359.96205586349686,47.76147774464227,2016.0,2020yCat.1350....0G,52.17088076754308,0.026841504,2020yCat.1350....0G,872.3808801766329,0.02171076461672783,-199.4924693614086,0.02037201263010502,2020yCat.1350....0G,,,,14.278437,0.000632056292130584,16.417427,0.0051443979537793266,12.932926,0.0008356923021046505,,,,,14.278437,0.000632056292130584,1.3490905601150234,0.005371518587014839,0,10.866,0.02,10.263,0.019,9.93,0.016,2003yCat.2246....0C,9.73,0.023,9.537,0.02,9.32,0.033,8.635,0.314,2014yCat.2328....0C
5717,891.1,,,0,,1990723839987250176,114570,348.1381289460739,49.40663255425639,2016.0,2020yCat.1350....0G,40.29404730510429,0.12957838,2020yCat.1350....0G,89.93876239284411,0.11448657512664795,95.70388278681992,0.10660408437252045,2020yCat.1350....0G,,,,4.438951,0.0008710642821109836,4.6062493,0.000705828827306145,4.171996,0.0017870936702032696,,,,,4.438951,0.0008710642821109836,0.28389612013396287,0.0023198918335855575,0,3.836,0.242,3.76,0.216,3.791,0.29,2003yCat.2246....0C,3.728,0.408,3.405,0.207,3.768,0.014,3.706,0.026,2014yCat.2328....0C
5633,13289,,,0,,1990050457838764544,,342.5853369006658,51.60640656763445,2016.0,2020yCat.1350....0G,56.01873127990436,0.017869176,2020yCat.1350....0G,-20.731070657795044,0.015577780082821846,-209.70885237215063,0.015539288520812988,2020yCat.1350....0G,,,,13.335136,0.0006443705376699591,15.179415,0.0019977236986708628,12.051683,0.0006357613303602928,,,,,13.335136,0.0006443705376699591,1.284518095061408,0.0024667980147171924,0,10.216,0.018,9.653,0.017,9.372,0.02,2003yCat.2246....0C,9.162,0.022,8.958,0.02,8.792,0.026,8.881,0.355,2014yCat.2328....0C
5714,13333,,,0,,1991767757560462976,,347.9779534947808,50.53791918726962,2016.0,2020yCat.1350....0G,43.5342174737899,0.021376364,2020yCat.1350....0G,651.4497841173954,0.01762106642127037,100.98589547562845,0.017576517537236214,2020yCat.1350....0G,,,,14.03791,0.0009364703121590169,15.964009,0.005981728372672801,12.73621,0.0021862636477753524,,,,,14.03791,0.0009364703121590169,1.3038367347107984,0.006500063312154951,0,10.786,0.02,10.193,0.024,9.868,0.016,2003yCat.2246....0C,9.688,0.023,9.534,0.021,9.375,0.036,8.681,,2014yCat.2328....0C
5868,907,,,0,,1940584323054654592,117383,357.01731862552737,49.01622835324005,2016.0,2020yCat.1350....0G,61.28323522542892,0.024187833,2020yCat.1350....0G,626.2088480177963,0.017747951671481133,69.78013860817649,0.01589134894311428,2020yCat.1350....0G,19.449670791625977,0.16790367662906647,2020yCat.1350....0G,11.175468,0.000373842454247706,12.322246,0.0006239286561286519,10.109758,0.0002547940938407918,,,,,11.175468,0.000373842454247706,1.0649374827533906,0.0014643111002087827,0,8.765,0.027,8.142,0.04,7.933,0.026,2003yCat.2246....0C,7.773,0.027,7.639,0.02,7.549,0.017,7.229,0.085,2014yCat.2328....0C
